[Il y a eu beaucoup de réponse incorrecte et pas mal d'ignorance] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MotOrient.Interpret)
[je préfère ne pas me risquer à dire que c'est juste si ça peut ne pas l'être] ; human(StratKldg) ; IA(MotOrient.SelfEff)
[Cela révèle que je dois être plus prudente concernant les questions ou je pense avoir faux pour espérer être davantage réaliste] ; human(Interpret) ; IA(CTRL)
[Beaucoup des sujets je n'avais pas révisé du tout encore] ; human(StratKldg) ; IA(DomKldg)
[Je vais tenter de plus travailler pour le prochain test afin d'avoir un meilleur résultat que ceux obtenus cette fois.] ; human(CTRL) ; IA(StratKldg)
[Toutefois, cela permet très certainement de cibler les points faibles. Le test est toujours utile.] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[Après avoir relu mes erreurs, j'ai remarqué que ces erreurs provenaient d'une erreur de lecture de la question et rarement d'une réelle erreur / lacune dans mes connaissances.] ; human(StratKldg) ; IA(MonCal.Interpret)
[à l'avenir, il faudrait que je prenne plus mon temps pour lire les questions et évaluer réellement mes connaissances et lacunes] ; human(CTRL) ; IA(StratKldg)
[je suis relativement déçue] ; human(BDS.Emotions) ; IA(DomKldg)
[Sur la partie mécanique j'ai été plus confiant, à juste titre, alors que dans la partie chimie j'ai été plus prudent (aussi à juste titre)] ; human(MotOrient.SelfEff) ; IA(StratKldg)
[Par rapport à la dernière fois j'ai fait moins d'erreurs d'inattention car j'ai bien vérifié même les questions que j'ai eu juste.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[le nombre de erreurs dangereuses a diminué] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[Globalement il y a plus ou moins autant de réponses correctes et incorrectes] ; human(MonCal.Facts.RF) ; IA(MonCal.Interpret)
[La plupart de ces erreurs sont dangereuses et les savoirs certains :] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[ce test est très réaliste/ précis.] ; human(MotOrient.Value) ; IA(StratKldg)
[ce qui concerne les mauvaises réponses, c'est une mauvaise compréhension des questions] ; human(StratKldg) ; IA(DomKldg)
[Pour le degré de certitude, c'est dangereux pour les mauvaises réponses, car j’étais plutôt vers une certitude de 100% même si je n'étais pas sûre de mes réponses] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[j'ai fait plus de fautes que la dernière fois,] ; human(MonCal.Facts.RF) ; IA(DomKldg)
[Cela me permet de savoir ce que je dois réviser et mes points faibles.] ; human(MotOrient.Value) ; IA(DomKldg)
[le plus grave ? les erreurs dangereuses que j'ai fait.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Ce test m'a permis de réaliser que mes connaissances sont moins solides que ce que j'espérais] ; human(MotOrient.Value) ; IA(MotOrient.SelfEff)
[J'ai autant de réponses incorrectes que d'ignorances.] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[9 réponses fausses (4 ! 5. . )3 ignorances20 réponses correctes (8 . . . 12 :)23/32] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[je ne suis pas du tout sûr de ce que je réponds en chimie] ; human(MotOrient.SelfEff) ; IA(DomKldg)
[La courbe en J des réponses correctes montre qu'en général, je sais quand j'ai la bonne réponse. Cependant je ne sais pas forcément quand j'ai la mauvaise réponse, la courbe en J des réponses incorrectes m'indiquant beaucoup d'erreurs dangereuses et ne suivant pas la forme du J. Cela relève d'une certaine imprudence.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Pour espérer devenir davantage réaliste lors du prochain test, je pourrais me fier davantage à mes réelles connaissances plutôt qu'à mes estimations sur quelle réponse pourrait être la bonne, si une question semble une question piège,] ; human(CTRL) ; IA(MonCal.Interpret)
[Globalement, j'ai réussi à être plus certaine de mes réponses (22 savoirs certains et 1 savoir fragile) mais ça a créé de ce fait quelques erreurs dangereuses (7). Par rapport au premier test, je peux remarquer que la courbe en J est plus conséquente pour les réponses correctes] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
