[Il y a eu beaucoup de réponse incorrecte et pas mal d'ignorance] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MotOrient.Interpret)
[1 réponse dangereuse] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[je préfère ne pas me risquer à dire que c'est juste si ça peut ne pas l'être] ; human(StratKldg) ; IA(MotOrient.SelfEff)
[Cela révèle que je dois être plus prudente concernant les questions ou je pense avoir faux pour espérer être davantage réaliste] ; human(Interpret) ; IA(CTRL)
[Beaucoup des sujets je n'avais pas révisé du tout encore] ; human(StratKldg) ; IA(DomKldg)
[Toutefois, cela permet très certainement de cibler les points faibles. Le test est toujours utile.] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[Après avoir relu mes erreurs, j'ai remarqué que ces erreurs provenaient d'une erreur de lecture de la question et rarement d'une réelle erreur / lacune dans mes connaissances.] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[à l'avenir, il faudrait que je prenne plus mon temps pour lire les questions et évaluer réellement mes connaissances et lacunes] ; human(CTRL) ; IA(DomKldg)
[je suis relativement déçue] ; human(BDS.Emotions) ; IA(DomKldg)
[Sur la partie mécanique j'ai été plus confiant, à juste titre, alors que dans la partie chimie j'ai été plus prudent (aussi à juste titre)] ; human(MotOrient.SelfEff) ; IA(StratKldg)
[Par rapport à la dernière fois j'ai fait moins d'erreurs d'inattention car j'ai bien vérifié même les questions que j'ai eu juste.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[le nombre de erreurs dangereuses a diminué] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[La plupart de ces erreurs sont dangereuses et les savoirs certains :] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[ce test est très réaliste/ précis.] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[ce qui concerne les mauvaises réponses, c'est une mauvaise compréhension des questions] ; human(StratKldg) ; IA(DomKldg)
[Pour le degré de certitude, c'est dangereux pour les mauvaises réponses, car j’étais plutôt vers une certitude de 100% même si je n'étais pas sûre de mes réponses] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[j'ai fait plus de fautes que la dernière fois,] ; human(MonCal.Facts.RF) ; IA(DomKldg)
[J'étais globalement moins sûre de moi que lors de la première fois,] ; human(MotOrient.SelfEff) ; IA(BDS.Emotions)
[Cela me permet de savoir ce que je dois réviser et mes points faibles.] ; human(MotOrient.Value) ; IA(StratKldg)
