id,document,Tags,content
3468839,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Il y a beaucoup de bonnes réponses (31) et peu d’erreurs (9) et aucune ignorance
3468842,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,La courbe de bonnes réponses correspond à la courbe en J mais pas celle des erreurs qui est légèrement inversée.
3469297,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,Je semble donc plutôt sur de moi-même dans l’erreur.
3469300,Commentaires_globaux_Test_1et2,CTRL,"Pour le prochain test, il faudrait que je vérifie si je suis vraiment et que j’accepte plus mon ignorance à certains moments sur certains sujets."
,,,
3468854,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"Globalement, il y a plus de savoirs certains que d’erreurs dangereuses (21 vs 7). Il y a aussi plus de savoirs fragiles que d’erreurs présumées (6 vs 4) pour 2 ignorances"
3469301,Commentaires_globaux_Test_1et2,MonCal.Interpret,Je trouve ces graphiques assez bien malgré le fait qu’il faudrait qu’il y ait beaucoup moins d’erreurs dangereuses
3469303,Commentaires_globaux_Test_1et2,CTRL,"Lors du prochain test, il faudrait que je fasse moins d’erreurs dangereuses, notamment en mettant que je suis moins sure quand j’ai des doutes."
,,,
3470104,Commentaires_globaux_Test_1et2,MonCal.Interpret,"A des moments quand la réponse était fausse, j’étais sûre que c’était vrai."
3470110,Commentaires_globaux_Test_1et2,DomKldg,"Et lorsque les réponses étaient justes, il y en avait que je n’étais pas sur à 100% car les notions n’étaient pas acquises réellement."
,,,
3470111,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Globalement j’ai plus de réponses correctes que de réponses incorrectes et j’ai zéro ignorance.
3470112,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,Mais je peux faire mieux la prochaine fois
3470115,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"Sur les courbes J, j’ai plus d’erreurs dangereuses et de savoirs fragiles."
,,,
3470118,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"23/40 , erreur dangereuses 14 , erreurs présumées 3 , ignorance 1 , savoir fragile 5 , savoir certains 17"
3470120,Commentaires_globaux_Test_1et2,CTRL,"Pour faire mieux, il faudrait que je sois moins sûr de moi et que je fasse preuve de plus de prudence car j’hésite pas assez."
,,,
3470123,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,J’ai eu 30/40
3470126,Commentaires_globaux_Test_1et2,MonCal.Interpret,je pensais être sur des résultats pour lesquels j’ai eu erreur dangereuse
3470127,Commentaires_globaux_Test_1et2,CTRL,Je pense qu’il faut que je sois plus prudent.
3470131,Commentaires_globaux_Test_1et2,DomKldg,Je devrais relire mes cours de l’année précédente et du début d’année.
,,,
3470133,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Mon résultat 30/40 , 8 réponses incorrectes , 5 ignorances , 27 réponses correctes"
3470136,Commentaires_globaux_Test_1et2,StratKldg,Mes erreurs sont principalement dues a des oublis ou a des erreurs de lecture graphiques.
3470141,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"J’étais régulier dans mes connaissances, soit j’étais sûr à plus de 80% soit très peu (5 ignorances et 3 savoirs fragiles)."
3470142,Commentaires_globaux_Test_1et2,CTRL,"Je pourrais être davantage réaliste en vérifiant les énoncés, les graphiques et mes réponses."
,,,
3955549,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Majorité de réponses juste (30/40)
3993229,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"dont 28 savoirs certains, 1 savoir fragile, 1 ignorance. 8 erreurs dangereuses et 2 erreurs présumées Peu d’écart lorsqu’il s’agit de la courbe des correctes, et courbe inversée pour les incorrectes."
,,,
3955564,Commentaires_globaux_Test_1et2,BDS.Emotions,je me sens nul
3955555,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,si y a 26 savoirs certains
