[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[je préfère ne pas me risquer à dire que c'est juste si ça peut ne pas l'être] ; human(StratKldg) ; IA(MonCal.Interpret)
[Cela révèle que je dois être plus prudente concernant les questions ou je pense avoir faux pour espérer être davantage réaliste] ; human(MonCal.Interpret) ; IA(CTRL)
[Beaucoup des sujets je n'avais pas révisé du tout encore] ; human(StratKldg) ; IA(DomKldg)
[je n'étais pas très concentrée] ; human(StratKldg) ; IA(BDS.Emotions)
[Après avoir relu mes erreurs, j'ai remarqué que ces erreurs provenaient d'une erreur de lecture de la question et rarement d'une réelle erreur / lacune dans mes connaissances.] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[Sur la partie mécanique j'ai été plus confiant, à juste titre, alors que dans la partie chimie j'ai été plus prudent (aussi à juste titre)] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je suis aussi surpris de mon score pour la partie chimie] ; human(BDS.Emotions) ; IA(MonCal.Interpret)
[Pour être plus sur de moi il faudrait que je révise plus la chimie pour solidifier mes connaissances.] ; human(DomKldg) ; IA(MotOrient.SelfEff)
[je devrais peut-être être un peu plus prudent] ; human(MonCal.Interpret) ; IA(CTRL)
[j'ai plus de réponses correctes en chimie qu'en physique.] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[ce test est très réaliste/ précis.] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[ce qui concerne les mauvaises réponses, c'est une mauvaise compréhension des questions] ; human(StratKldg) ; IA(DomKldg)
[Pour le degré de certitude, c'est dangereux pour les mauvaises réponses, car j’étais plutôt vers une certitude de 100% même si je n'étais pas sûre de mes réponses] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Je pense qu'en essayant de relire mes leçons avant le test, je pourrais être plus sûre de mes réponses] ; human(StratKldg) ; IA(CTRL)
[Cela me permet de savoir ce que je dois réviser et mes points faibles.] ; human(MotOrient.Value) ; IA(DomKldg)
[La mécanique est un thème difficile et je suis dans l'ensemble trop sûre de moi en mécanique.] ; human(MotOrient.SelfEff) ; IA(DomKldg MotOrient.SelfEff)
[Ce test m'a permis de réaliser que mes connaissances sont moins solides que ce que j'espérais] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
