[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[je préfère ne pas me risquer à dire que c'est juste si ça peut ne pas l'être] ; human(StratKldg) ; IA(MotOrient.SelfEff)
[Score attribué au fait que je n'étais pas assez attentive et concentrée lors du test.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Cela révèle que je dois être plus prudente concernant les questions ou je pense avoir faux pour espérer être davantage réaliste] ; human(Interpret) ; IA(CTRL)
[Beaucoup des sujets je n'avais pas révisé du tout encore] ; human(StratKldg) ; IA(DomKldg)
[je n'étais pas très concentrée] ; human(StratKldg) ; IA(BDS.Emotions)
[Après avoir relu mes erreurs, j'ai remarqué que ces erreurs provenaient d'une erreur de lecture de la question et rarement d'une réelle erreur / lacune dans mes connaissances.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Sur la partie mécanique j'ai été plus confiant, à juste titre, alors que dans la partie chimie j'ai été plus prudent (aussi à juste titre)] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je suis aussi surpris de mon score pour la partie chimie] ; human(BDS.Emotions) ; IA(MonCal.Interpret)
[Pour être plus sur de moi il faudrait que je révise plus la chimie pour solidifier mes connaissances.] ; human(DomKldg) ; IA(MotOrient.SelfEff)
[je devrais peut-être être un peu plus prudent] ; human(MonCal.Interpret) ; IA(CTRL)
[j'ai plus de réponses correctes en chimie qu'en physique.] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[ce qui concerne les mauvaises réponses, c'est une mauvaise compréhension des questions] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour le degré de certitude, c'est dangereux pour les mauvaises réponses, car j’étais plutôt vers une certitude de 100% même si je n'étais pas sûre de mes réponses] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[D'après ma courbe, j'ai tendance à être à la fois trop prudente (avec 12 savoirs fragiles) et à la fois pas assez (7 erreurs dangereuses)] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Je pense qu'en essayant de relire mes leçons avant le test, je pourrais être plus sûre de mes réponses] ; human(StratKldg) ; IA(CTRL)
[Ce test m'a permis de réaliser que mes connaissances sont moins solides que ce que j'espérais] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[c'est bien de voir que la plupart du temps je suis certaine quand j'ai raison] ; human(MonCal.Interpret) ; IA(MotOrient.SelfEff)
[je ne suis pas du tout sûr de ce que je réponds en chimie] ; human(MotOrient.SelfEff) ; IA(DomKldg)
[Il y a un manque de rigueur car j'ai mal lu les énoncés et cela m'a induit en erreur et c'est pour cela que j'ai eu des réponses qui étaient erronées] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour le prochain test, je devrais approfondir les bases du cours (non-acquis) avec des exercices.] ; human(CTRL) ; IA(DomKldg)
[J'ai mal jugé mes réponses et surestimé mes compétences] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Ce test m'a permis de comprendre que je dois faire plus attention aux énoncés.] ; human(MotOrient.Value) ; IA(CTRL)
[e trouve que j'ai été trop rapide dans mes choix de réponse ainsi à l'avenir il me faudra être plus réfléchi. Aussi des petites révisions ne me feraient pas de mal.] ; human(StratKldg) ; IA(CTRL)
[Je dois mieux lire les énoncés et être plus attentif sur les réponses] ; human(StratKldg) ; IA(CTRL)
[je pense être plutôt réaliste et ne pas avoir besoin de devenir beaucoup plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je devrais être plus attentif sur les questions.] ; human(StratKldg) ; IA(CTRL)
[J'ai appris que je devrais me fier plus à mes connaissances qu'à la pertinence de la question] ; human(MotOrient.Value) ; IA(MotOrient.SelfEff)
[La prochaine fois, je ferais attention aux tournures des phrases qui peuvent être dangereuses.] ; human(CTRL) ; IA(StratKldg)
[Plutôt des erreurs d'inattention que du manque de réalisme.] ; human(StratKldg) ; IA(MonCal.Interpret)
[il faut revoir certaines choses de mon cours] ; human(CTRL) ; IA(DomKldg)
[il y a trop d’assurance pour des réponses qui sont fausses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je pourrais être plus réaliste en lisant mieux les questions.] ; human(StratKldg) ; IA(CTRL)
[Il faut que je travaille mieux mes notions] ; human(StratKldg) ; IA(DomKldg)
[L'objectif est donc une attention plus marquée dans la lecture des questions] ; human(StratKldg) ; IA(CTRL)
[trois erreurs dangereuses (à80%) qui sont dues à une mauvaise lecture de l'énoncé et une confusion entre plusieurs éléments de la consigne] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour un meilleur résultat la fois prochaine, il faudrait ouvrir le livre de SPC notamment sur la mécanique] ; human(CTRL) ; IA(DomKldg)
[j'ai souvent répondu trop vite] ; human(StratKldg) ; IA(MonCal.Interpret)
[j'ai été beaucoup moins prudente que sur le dernier test, j'ai pris des risques] ; human(MonCal.Interpret) ; IA(StratKldg)
[des confusions et des souvenirs erronés du à des réponses données basées non pas sur un cours appris mais sur des souvenirs de classes et des exercices faits.] ; human(StratKldg) ; IA(DomKldg)
[j'ai échangé 2 valeurs dans une formule que je n'ai pas trop comprise] ; human(DomKldg) ; IA(MonCal.Interpret)
[je n'ai pas bien relu mes chapitres] ; human(StratKldg) ; IA(DomKldg)
[je pense que le cours est moins maitrisé] ; human(StratKldg) ; IA(DomKldg)
[je n'ai pas pris le temps de bien comprendre les énoncés] ; human(StratKldg) ; IA(CTRL)
[j'ai été plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[mes connaissances pas encore assez solides.] ; human(StratKldg) ; IA(DomKldg)
[mon problème réside dans ma précipitation] ; human(StratKldg) ; IA(CTRL)
[j'ai pas revu le cours] ; human(StratKldg) ; IA(DomKldg)
[un manque d'attention sur certains détails] ; human(StratKldg) ; IA(CTRL)
[Chapitres pas assez bien travaillés] ; human(StratKldg) ; IA(DomKldg)
[mauvais apprentissage du cours] ; human(StratKldg) ; IA(DomKldg)
[bcp d'erreurs dangereuses] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
