comment,chunks
"Il y a beaucoup de bonnes réponses (31) et peu d’erreurs (9) et aucune ignorance . La courbe de bonnes réponses correspond à la courbe en J mais pas celle des erreurs qui est légèrement inversée.  Je semble donc plutôt sur de moi-même dans l’erreur.  Pour le prochain test, il faudrait que je vérifie si je suis vraiment et que j’accepte plus mon ignorance à certains moments sur certains sujets. ","['Il y a beaucoup de bonnes réponses (31) et peu d’erreurs (9) et aucune ignorance ', '. La courbe de bonnes réponses correspond à la courbe en J mais pas celle des erreurs qui est légèrement inversée. ', ' Je semble donc plutôt sur de moi-même dans l’erreur. ', ' Pour le prochain test, il faudrait que je vérifie si je suis vraiment et que j’accepte plus mon ignorance à certains moments sur certains sujets. ', '']"
"Globalement, il y a plus de savoirs certains que d’erreurs dangereuses (21 vs 7). Il y a aussi plus de savoirs fragiles que d’erreurs présumées (6 vs 4) pour 2 ignorances . Je trouve ces graphiques assez bien malgré le fait qu’il faudrait qu’il y ait beaucoup moins d’erreurs dangereuses . Lors du prochain test, il faudrait que je fasse moins d’erreurs dangereuses, notamment en mettant que je suis moins sure quand j’ai des doutes. ","['Globalement, il y a plus de savoirs certains que d’erreurs dangereuses (21 vs 7). Il y a aussi plus de savoirs fragiles que d’erreurs présumées (6 vs 4) pour 2 ignorances ', '. Je trouve ces graphiques assez bien malgré le fait qu’il faudrait qu’il y ait beaucoup moins d’erreurs dangereuses ', '. Lors du prochain test, il faudrait que je fasse moins d’erreurs dangereuses, notamment en mettant que je suis moins sure quand j’ai des doutes. ', '']"
"A des moments quand la réponse était fausse, j’étais sûre que c’était vrai.  Je pourrais expliquer ces réponses à cause d’un manque de rigueur de ma part.  Et lorsque les réponses étaient justes, il y en avait que je n’étais pas sur à 100% car les notions n’étaient pas acquises réellement. ","['A des moments quand la réponse était fausse, j’étais sûre que c’était vrai. ', ' Je pourrais expliquer ces réponses à cause d’un manque de rigueur de ma part. ', ' Et lorsque les réponses étaient justes, il y en avait que je n’étais pas sur à 100% car les notions n’étaient pas acquises réellement. ', '']"
"Globalement j’ai plus de réponses correctes que de réponses incorrectes et j’ai zéro ignorance.  Mais je peux faire mieux la prochaine fois  et je saurai à quoi m’attendre.  Sur les courbes J, j’ai plus d’erreurs dangereuses et de savoirs fragiles.  Lors du prochain test, j’espère faire mieux que celui-là et je saurai à quoi m’attendre.","['Globalement j’ai plus de réponses correctes que de réponses incorrectes et j’ai zéro ignorance. ', ' Mais je peux faire mieux la prochaine fois ', ' et je saurai à quoi m’attendre. ', ' Sur les courbes J, j’ai plus d’erreurs dangereuses et de savoirs fragiles. ', ' Lors du prochain test, j’espère faire mieux que celui-là et je saurai à quoi m’attendre.']"
"23/40 , erreur dangereuses 14 , erreurs présumées 3 , ignorance 1 , savoir fragile 5 , savoir certains 17 . Pour faire mieux, il faudrait que je sois moins sûr de moi et que je fasse preuve de plus de prudence car j’hésite pas assez. ","['23/40 , erreur dangereuses 14 , erreurs présumées 3 , ignorance 1 , savoir fragile 5 , savoir certains 17 ', '. Pour faire mieux, il faudrait que je sois moins sûr de moi et que je fasse preuve de plus de prudence car j’hésite pas assez. ', '']"
"J’ai eu 30/40 , je pensais être sur des résultats pour lesquels j’ai eu erreur dangereuse . Je pense qu’il faut que je sois plus prudent.  Je devrais relire mes cours de l’année précédente et du début d’année. ","['J’ai eu 30/40 ', ', je pensais être sur des résultats pour lesquels j’ai eu erreur dangereuse ', '. Je pense qu’il faut que je sois plus prudent. ', ' Je devrais relire mes cours de l’année précédente et du début d’année. ', '']"
"Mon résultat 30/40 , 8 réponses incorrectes , 5 ignorances , 27 réponses correctes . Mes erreurs sont principalement dues a des oublis ou a des erreurs de lecture graphiques.  J’étais régulier dans mes connaissances, soit j’étais sûr à plus de 80% soit très peu (5 ignorances et 3 savoirs fragiles).  Je pourrais être davantage réaliste en vérifiant les énoncés, les graphiques et mes réponses. ","['Mon résultat 30/40 , 8 réponses incorrectes , 5 ignorances , 27 réponses correctes ', '. Mes erreurs sont principalement dues a des oublis ou a des erreurs de lecture graphiques. ', ' J’étais régulier dans mes connaissances, soit j’étais sûr à plus de 80% soit très peu (5 ignorances et 3 savoirs fragiles). ', ' Je pourrais être davantage réaliste en vérifiant les énoncés, les graphiques et mes réponses. ', '']"
"Majorité de réponses juste (30/40)  dont 28 savoirs certains, 1 savoir fragile, 1 ignorance. 8 erreurs dangereuses et 2 erreurs présumées Peu d’écart lorsqu’il s’agit de la courbe des correctes, et courbe inversée pour les incorrectes. ","['Majorité de réponses juste (30/40) ', ' dont 28 savoirs certains, 1 savoir fragile, 1 ignorance. 8 erreurs dangereuses et 2 erreurs présumées Peu d’écart lorsqu’il s’agit de la courbe des correctes, et courbe inversée pour les incorrectes. ', '']"
Mes erreurs dangereuses sont bêtes  je me sens nul  même si y a 26 savoirs certains  et triste de ne pas avoir su répondre à 3 questions . J’aurai pu faire mieux en prenant plus mon temps .,"['Mes erreurs dangereuses sont bêtes ', ' je me sens nul ', ' même si y a 26 savoirs certains ', ' et triste de ne pas avoir su répondre à 3 questions ', '. J’aurai pu faire mieux en prenant plus mon temps ', '.']"
"Globalement il y a 26 réponses justes 12 réponses incorrectes et 2 ignorances . Ce score provient d’oublis de connaissance de manques de connaissance.  La courbe des réponses correctes est plus élevée que celle des réponses incorrectes, dû à la supériorité des réponses correctes, mais la courbe des réponses incorrectes reste vachement élevé face aux réponses justes","['Globalement il y a 26 réponses justes 12 réponses incorrectes et 2 ignorances ', '. Ce score provient d’oublis de connaissance de manques de connaissance. ', ' La courbe des réponses correctes est plus élevée que celle des réponses incorrectes, dû à la supériorité des réponses correctes, mais la courbe des réponses incorrectes reste vachement élevé face aux réponses justes']"
