[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[je préfère ne pas me risquer à dire que c'est juste si ça peut ne pas l'être] ; human(StratKldg) ; IA(MonCal.Interpret)
[Score attribué au fait que je n'étais pas assez attentive et concentrée lors du test.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Cela révèle que je dois être plus prudente concernant les questions ou je pense avoir faux pour espérer être davantage réaliste] ; human(MonCal.Interpret) ; IA(CTRL)
[Beaucoup des sujets je n'avais pas révisé du tout encore] ; human(StratKldg) ; IA(DomKldg)
[je n'étais pas très concentrée] ; human(StratKldg) ; IA(BDS.Emotions)
[Après avoir relu mes erreurs, j'ai remarqué que ces erreurs provenaient d'une erreur de lecture de la question et rarement d'une réelle erreur / lacune dans mes connaissances.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Sur la partie mécanique j'ai été plus confiant, à juste titre, alors que dans la partie chimie j'ai été plus prudent (aussi à juste titre)] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je suis aussi surpris de mon score pour la partie chimie] ; human(BDS.Emotions) ; IA(MonCal.Interpret)
[Pour être plus sur de moi il faudrait que je révise plus la chimie pour solidifier mes connaissances.] ; human(DomKldg) ; IA(MotOrient.SelfEff)
[je devrais peut-être être un peu plus prudent] ; human(MonCal.Interpret) ; IA(CTRL)
[j'ai plus de réponses correctes en chimie qu'en physique.] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[ce qui concerne les mauvaises réponses, c'est une mauvaise compréhension des questions] ; human(StratKldg) ; IA(DomKldg)
[Pour le degré de certitude, c'est dangereux pour les mauvaises réponses, car j’étais plutôt vers une certitude de 100% même si je n'étais pas sûre de mes réponses] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Je pense qu'en essayant de relire mes leçons avant le test, je pourrais être plus sûre de mes réponses] ; human(StratKldg) ; IA(CTRL)
[Cela me permet de savoir ce que je dois réviser et mes points faibles.] ; human(MotOrient.Value) ; IA(DomKldg)
[La mécanique est un thème difficile et je suis dans l'ensemble trop sûre de moi en mécanique.] ; human(MotOrient.SelfEff) ; IA(MotOrient.SelfEff DomKldg)
[Ce test m'a permis de réaliser que mes connaissances sont moins solides que ce que j'espérais] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[c'est bien de voir que la plupart du temps je suis certaine quand j'ai raison] ; human(MonCal.Interpret) ; IA(MotOrient.SelfEff)
[je ne suis pas du tout sûr de ce que je réponds en chimie] ; human(MotOrient.SelfEff) ; IA(DomKldg)
[je fais beaucoup d'erreurs dangereuses en chimie.] ; human(MonCal.Facts.DC) ; IA(DomKldg)
[On peut dire que j'ai eu ce score car je ne révise jamais sauf la veille ou le jour même d'un contrôle, j'aurais sûrement un meilleur score en révisant régulièrement] ; human(StratKldg) ; IA(CTRL)
[Pour le prochain test, je devrais approfondir les bases du cours (non-acquis) avec des exercices.] ; human(CTRL) ; IA(DomKldg)
[J'ai mal jugé mes réponses et surestimé mes compétences] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Ce test m'a permis de comprendre que je dois faire plus attention aux énoncés.] ; human(MotOrient.Value) ; IA(StratKldg)
[e trouve que j'ai été trop rapide dans mes choix de réponse ainsi à l'avenir il me faudra être plus réfléchi. Aussi des petites révisions ne me feraient pas de mal.] ; human(StratKldg) ; IA(CTRL)
[Je dois mieux lire les énoncés et être plus attentif sur les réponses] ; human(StratKldg) ; IA(CTRL)
[je pense être plutôt réaliste et ne pas avoir besoin de devenir beaucoup plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[ce test ne m'apporte pas grand-chose, que quelques connaissances sur quelques détails précis] ; human(MotOrient.Value) ; IA(DomKldg)
[Je devrais être plus attentif sur les questions.] ; human(StratKldg) ; IA(CTRL)
[J'ai appris que je devrais me fier plus à mes connaissances qu'à la pertinence de la question] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
