[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Pour espérer davantage au prochain test il va falloir que je révise plus ce qui me permettra d'avoir de l'assurance et de la justesse dans mes réponses] ; human(CTRL) ; IA(MotOrient.SelfEff)
[Grâce à ces tests je vois qu'il faut que je m'améliore en mécanique car je n'ai pas du tout compris. J'ai beaucoup d'ignorance car je ne connais pas bien ma leçon. Je me sens plus à l'aise en chimie, mais je confonds encore beaucoup stéréoisomère, énantiomère, de configuration, de conformation . . . J'ai aussi besoin de revoir les titrages car je n'arrive pas à faire les calculs.] ; human(DomKldg) ; IA(MonCal.Interpret
   DomKldg
   StratKldg
   CTRL)
[je préfère ne pas me risquer à dire que c'est juste si ça peut ne pas l'être] ; human(StratKldg) ; IA(MonCal.Interpret)
[Score attribué au fait que je n'étais pas assez attentive et concentrée lors du test.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Le diagramme de réponses correctes est proche de la courbe en J, tandis que la courbe des réponses incorrectes ne l'est pas.] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[Lors d'un prochain test, je devrais être moins certaine de moi sur les réponses ou j'hésite et être + prudente.] ; human(CTRL) ; IA(StratKldg)
[Beaucoup des sujets je n'avais pas révisé du tout encore] ; human(StratKldg) ; IA(DomKldg)
[je n'étais pas très concentrée] ; human(StratKldg) ; IA(BDS.Emotions)
[mes connaissances sont encore trop fragiles, je n'ai toujours pas commencé les révisions pour les chapitres (illisible) particulièrement dans le chapitre sur les lois de Newton et la relation entre les acides et les bases.] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[Je vais tenter de plus travailler pour le prochain test afin d'avoir un meilleur résultat que ceux obtenus cette fois.] ; human(CTRL) ; IA(MonCal.Interpret)
[Je n'avais pas du tout revu les lois de Kepler et des satellites.] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[Toutefois, cela permet très certainement de cibler les points faibles. Le test est toujours utile.] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[Après avoir relu mes erreurs, j'ai remarqué que ces erreurs provenaient d'une erreur de lecture de la question et rarement d'une réelle erreur / lacune dans mes connaissances.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[à l'avenir, il faudrait que je prenne plus mon temps pour lire les questions et évaluer réellement mes connaissances et lacunes] ; human(CTRL) ; IA(StratKldg)
[j'ai eu tendance à faire preuve d'imprudence et à évaluer, à tort, mes réponses comme justes] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Sur la partie mécanique j'ai été plus confiant, à juste titre, alors que dans la partie chimie j'ai été plus prudent (aussi à juste titre)] ; human(MotOrient.SelfEff) ; IA(MonCal.SelfEff)
[Je suis aussi surpris de mon score pour la partie chimie] ; human(BDS.Emotions) ; IA(MonCal.Interpret)
