[je préfère ne pas me risquer à dire que c'est juste si ça peut ne pas l'être] ; human(StratKldg) ; IA(MotOrient.SelfEff)
[Cela révèle que je dois être plus prudente concernant les questions ou je pense avoir faux pour espérer être davantage réaliste] ; human(MonCal.Interpret) ; IA(CTRL)
[Beaucoup des sujets je n'avais pas révisé du tout encore] ; human(StratKldg) ; IA(DomKldg)
[à l'avenir, il faudrait que je prenne plus mon temps pour lire les questions et évaluer réellement mes connaissances et lacunes] ; human(CTRL) ; IA(DomKldg)
[Sur la partie mécanique j'ai été plus confiant, à juste titre, alors que dans la partie chimie j'ai été plus prudent (aussi à juste titre)] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je suis aussi surpris de mon score pour la partie chimie] ; human(BDS.Emotions) ; IA(DomKldg)
[le nombre de erreurs dangereuses a diminué] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[uniquement savoir certain ou erreur dangereuse-] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[ce test est très réaliste/ précis.] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[ce qui concerne les mauvaises réponses, c'est une mauvaise compréhension des questions] ; human(StratKldg) ; IA(DomKldg)
[Je pense qu'en essayant de relire mes leçons avant le test, je pourrais être plus sûre de mes réponses] ; human(StratKldg) ; IA(DomKldg)
[Les lois de Kepler sont à apprendre !] ; human(DomKldg) ; IA(MonCal.Kldg)
[Cela me permet de savoir ce que je dois réviser et mes points faibles.] ; human(MotOrient.Value) ; IA(DomKldg)
[le plus grave ? les erreurs dangereuses que j'ai fait.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[La mécanique est un thème difficile et je suis dans l'ensemble trop sûre de moi en mécanique.] ; human(MotOrient.SelfEff) ; IA(DomKldg)
[Ce test m'a permis de réaliser que mes connaissances sont moins solides que ce que j'espérais] ; human(MotOrient.Value) ; IA(DomKldg)
[9 réponses fausses (4 ! 5. . )3 ignorances20 réponses correctes (8 . . . 12 :)23/32] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[je ne suis pas du tout sûr de ce que je réponds en chimie] ; human(MotOrient.SelfEff) ; IA(DomKldg)
[Pour espérer devenir davantage réaliste lors du prochain test, je pourrais me fier davantage à mes réelles connaissances plutôt qu'à mes estimations sur quelle réponse pourrait être la bonne, si une question semble une question piège,] ; human(CTRL) ; IA(StratKldg)
[Pour le prochain test, il faudrait que je me laisse un peu plus de temps avant de répondre et bien analyser les docs.] ; human(CTRL) ; IA(StratKldg)
[C'est un peu meilleur que le premier test mais c'est parce que les questions étaient sur des chapitres vus en Terminale tandis que le premier test était sur des chapitres vus en Première.] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[Pour le prochain test, je devrais approfondir les bases du cours (non-acquis) avec des exercices.] ; human(CTRL) ; IA(DomKldg)
