[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MotOrient.Interpret)
[Grâce à ces tests je vois qu'il faut que je m'améliore en mécanique car je n'ai pas du tout compris. J'ai beaucoup d'ignorance car je ne connais pas bien ma leçon. Je me sens plus à l'aise en chimie, mais je confonds encore beaucoup stéréoisomère, énantiomère, de configuration, de conformation . . . J'ai aussi besoin de revoir les titrages car je n'arrive pas à faire les calculs.] ; human(DomKldg) ; IA(DomainKldg)
[1 réponse dangereuse] ; human(MonCal.Facts.DC) ; IA(<MonCal.Facts.DC>)
[je préfère ne pas me risquer à dire que c'est juste si ça peut ne pas l'être] ; human(StratKldg) ; IA(MotOrient.Value)
[Cela révèle que je dois être plus prudente concernant les questions ou je pense avoir faux pour espérer être davantage réaliste] ; human(Interpret) ; IA(<CTRL>)
[Beaucoup des sujets je n'avais pas révisé du tout encore] ; human(StratKldg) ; IA(DomKldg)
[mes connaissances sont encore trop fragiles, je n'ai toujours pas commencé les révisions pour les chapitres (illisible) particulièrement dans le chapitre sur les lois de Newton et la relation entre les acides et les bases.] ; human(DomKldg) ; IA(DomKldg, StratKldg)
[Je vais tenter de plus travailler pour le prochain test afin d'avoir un meilleur résultat que ceux obtenus cette fois.] ; human(CTRL) ; IA(<Ctrl>)
[Toutefois, cela permet très certainement de cibler les points faibles. Le test est toujours utile.] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[Après avoir relu mes erreurs, j'ai remarqué que ces erreurs provenaient d'une erreur de lecture de la question et rarement d'une réelle erreur / lacune dans mes connaissances.] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[à l'avenir, il faudrait que je prenne plus mon temps pour lire les questions et évaluer réellement mes connaissances et lacunes] ; human(CTRL) ; IA(DomKldg)
[je suis relativement déçue] ; human(BDS.Emotions) ; IA(MonCal.Emotions)
[Sur la partie mécanique j'ai été plus confiant, à juste titre, alors que dans la partie chimie j'ai été plus prudent (aussi à juste titre)] ; human(MotOrient.SelfEff) ; IA(StratKldg)
[Je suis aussi surpris de mon score pour la partie chimie] ; human(BDS.Emotions) ; IA(MotOrient.SelfEff)
[Par rapport à la dernière fois j'ai fait moins d'erreurs d'inattention car j'ai bien vérifié même les questions que j'ai eu juste.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[il y a une majorité de réponses vraies] ; human(MonCal.Facts.RF) ; IA(<MonCal.Facts.RF>)
[le nombre de erreurs dangereuses a diminué] ; human(MonCal.Facts.DC) ; IA(<MonCal.Interpret>)
[je devrais peut-être être un peu plus prudent] ; human(MonCal.Interpret) ; IA(<MonCal.Interpret>)
[ce test est très réaliste/ précis.] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[ce qui concerne les mauvaises réponses, c'est une mauvaise compréhension des questions] ; human(StratKldg) ; IA(DomKldg)
[Pour le degré de certitude, c'est dangereux pour les mauvaises réponses, car j’étais plutôt vers une certitude de 100% même si je n'étais pas sûre de mes réponses] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
