[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Pour espérer davantage au prochain test il va falloir que je révise plus ce qui me permettra d'avoir de l'assurance et de la justesse dans mes réponses] ; human(CTRL) ; IA(MotOrient.SelfEff)
[Généralement pas sur de moi] ; human(MotOrient.SelfEff) ; IA(BDS.Emotions)
[je préfère ne pas me risquer à dire que c'est juste si ça peut ne pas l'être] ; human(StratKldg) ; IA(BDS.Emotions)
[Score attribué au fait que je n'étais pas assez attentive et concentrée lors du test.] ; human(StratKldg) ; IA(BDS.Emotions)
[Le diagramme de réponses correctes est proche de la courbe en J, tandis que la courbe des réponses incorrectes ne l'est pas.] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[Cela révèle que je dois être plus prudente concernant les questions ou je pense avoir faux pour espérer être davantage réaliste] ; human(Interpret) ; IA(StratKldg)
[Beaucoup des sujets je n'avais pas révisé du tout encore] ; human(StratKldg) ; IA(DomKldg)
[je n'étais pas très concentrée] ; human(StratKldg) ; IA(BDS.Emotions)
[Après avoir relu mes erreurs, j'ai remarqué que ces erreurs provenaient d'une erreur de lecture de la question et rarement d'une réelle erreur / lacune dans mes connaissances.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Sur la partie mécanique j'ai été plus confiant, à juste titre, alors que dans la partie chimie j'ai été plus prudent (aussi à juste titre)] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je suis aussi surpris de mon score pour la partie chimie] ; human(BDS.Emotions) ; IA(MonCal.Interpret)
[Pour être plus sur de moi il faudrait que je révise plus la chimie pour solidifier mes connaissances.] ; human(DomKldg) ; IA(MotOrient.SelfEff)
[Par rapport à la dernière fois j'ai fait moins d'erreurs d'inattention car j'ai bien vérifié même les questions que j'ai eu juste.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Il y a aussi comme la dernière fois des erreurs d'inattention.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[je n'avais pas révisé presque la totalité de ce qu'il y avait] ; human(DomKldg) ; IA(MonCal.Interpret)
[je devrais peut-être être un peu plus prudent] ; human(MonCal.Interpret) ; IA(CTRL)
[j'ai plus de réponses correctes en chimie qu'en physique.] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[ce qui concerne les mauvaises réponses, c'est une mauvaise compréhension des questions] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour le degré de certitude, c'est dangereux pour les mauvaises réponses, car j’étais plutôt vers une certitude de 100% même si je n'étais pas sûre de mes réponses] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[je suis assez prudent] ; human(MonCal.Interpret) ; IA(BDS.Emotions)
[D'après ma courbe, j'ai tendance à être à la fois trop prudente (avec 12 savoirs fragiles) et à la fois pas assez (7 erreurs dangereuses)] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Je pense qu'en essayant de relire mes leçons avant le test, je pourrais être plus sûre de mes réponses] ; human(StratKldg) ; IA(MotOrient.SelfEff)
[J'étais globalement moins sûre de moi que lors de la première fois,] ; human(MotOrient.SelfEff) ; IA(BDS.Emotions)
[J'étais aussi peu attentive] ; human(StratKldg) ; IA(BDS.Emotions)
[Cela me permet de savoir ce que je dois réviser et mes points faibles.] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[le plus grave ? les erreurs dangereuses que j'ai fait.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[La mécanique est un thème difficile et je suis dans l'ensemble trop sûre de moi en mécanique.] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Ce test m'a permis de réaliser que mes connaissances sont moins solides que ce que j'espérais] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[La courbe en J des réponses correctes montre qu'en général, je sais quand j'ai la bonne réponse. Cependant je ne sais pas forcément quand j'ai la mauvaise réponse, la courbe en J des réponses incorrectes m'indiquant beaucoup d'erreurs dangereuses et ne suivant pas la forme du J. Cela relève d'une certaine imprudence.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Pour espérer devenir davantage réaliste lors du prochain test, je pourrais me fier davantage à mes réelles connaissances plutôt qu'à mes estimations sur quelle réponse pourrait être la bonne, si une question semble une question piège,] ; human(CTRL) ; IA(StratKldg)
[trop prudent] ; human(MonCal.Interpret) ; IA(BDS.Emotions)
[je suis sûr dans toutes mes réponses où je crois avoir raison, ce qui me donne uniquement des savoirs certains et des erreurs dangereuses. Ma courbe de bonnes réponses est en J mais l'autre est en J inversé (en L en fait).] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[C'est un peu meilleur que le premier test mais c'est parce que les questions étaient sur des chapitres vus en Terminale tandis que le premier test était sur des chapitres vus en Première.] ; human(DomKldg) ; IA(MonCal.Interpret)
[Pour le prochain test, je devrais approfondir les bases du cours (non-acquis) avec des exercices.] ; human(CTRL) ; IA(DomKldg)
[J'ai mal jugé mes réponses et surestimé mes compétences] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
